"";"n";"lambda";"p";"df";"method";"cov_2norm"
"385";1000;27;3;3;"PCA";0,748573934841457
"386";1000;27;3;3;"SPCA";0,0930533534881657
"387";1000;27;3;5;"PCA";0,106898860424264
"388";1000;27;3;5;"SPCA";0,0858211413408137
"389";1000;27;3;10;"PCA";0,0559375712835967
"390";1000;27;3;10;"SPCA";0,0906695458444852
"391";1000;28;3;3;"PCA";0,809466616371524
"392";1000;28;3;3;"SPCA";0,0821482559218235
"393";1000;28;3;5;"PCA";0,0972813999929296
"394";1000;28;3;5;"SPCA";0,0862213116771452
"395";1000;28;3;10;"PCA";0,0554502917234329
"396";1000;28;3;10;"SPCA";0,08363264985168
"397";1000;29;3;3;"PCA";0,654961085498172
"398";1000;29;3;3;"SPCA";0,0793850069286263
"399";1000;29;3;5;"PCA";0,0918951535826523
"400";1000;29;3;5;"SPCA";0,0845475737815443
"401";1000;29;3;10;"PCA";0,0527045928873488
"402";1000;29;3;10;"SPCA";0,0855968046633051
"403";1000;30;3;3;"PCA";0,821902636731884
"404";1000;30;3;3;"SPCA";0,078364163679796
"405";1000;30;3;5;"PCA";0,0917297223436399
"406";1000;30;3;5;"SPCA";0,0803632414616522
"407";1000;30;3;10;"PCA";0,0508933846109125
"408";1000;30;3;10;"SPCA";0,0761882019244572
"409";1000;31;3;3;"PCA";0,627214970553103
"410";1000;31;3;3;"SPCA";0,0764915158981912
"411";1000;31;3;5;"PCA";0,10037423980784
"412";1000;31;3;5;"SPCA";0,077966215204201
"413";1000;31;3;10;"PCA";0,04808101973753
"414";1000;31;3;10;"SPCA";0,0823974746445773
"415";1000;32;3;3;"PCA";0,616426648176377
"416";1000;32;3;3;"SPCA";0,0794689119105791
"417";1000;32;3;5;"PCA";0,0846135585139842
"418";1000;32;3;5;"SPCA";0,0773686525825868
"419";1000;32;3;10;"PCA";0,0454341608674357
"420";1000;32;3;10;"SPCA";0,0745731156176767
"421";1000;33;3;3;"PCA";0,55540967645727
"422";1000;33;3;3;"SPCA";0,0746316557550092
"423";1000;33;3;5;"PCA";0,0811054631817157
"424";1000;33;3;5;"SPCA";0,0735180610789293
"425";1000;33;3;10;"PCA";0,0471949907708576
"426";1000;33;3;10;"SPCA";0,0712636477174693
"427";1000;34;3;3;"PCA";0,47792203064602
"428";1000;34;3;3;"SPCA";0,0702479052790191
"429";1000;34;3;5;"PCA";0,0889077055673047
"430";1000;34;3;5;"SPCA";0,0742772936235232
"431";1000;34;3;10;"PCA";0,0435975915275488
"432";1000;34;3;10;"SPCA";0,0701179762366252
"433";1000;35;3;3;"PCA";0,532597687262063
"434";1000;35;3;3;"SPCA";0,0656240779984707
"435";1000;35;3;5;"PCA";0,0773888965078435
"436";1000;35;3;5;"SPCA";0,0673892191015027
"437";1000;35;3;10;"PCA";0,0424526266999064
"438";1000;35;3;10;"SPCA";0,0716666775627071
"439";1000;36;3;3;"PCA";0,46069999421487
"440";1000;36;3;3;"SPCA";0,0669521297384243
"441";1000;36;3;5;"PCA";0,0758026199855159
"442";1000;36;3;5;"SPCA";0,0678690435837697
"443";1000;36;3;10;"PCA";0,0406653747364269
"444";1000;36;3;10;"SPCA";0,0687326403414477
"445";1000;37;3;3;"PCA";0,496573420242978
"446";1000;37;3;3;"SPCA";0,0645497620325398
"447";1000;37;3;5;"PCA";0,0759082523607328
"448";1000;37;3;5;"SPCA";0,0660634853795501
"449";1000;37;3;10;"PCA";0,041260853744947
